TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
102,0.3,2.181,left,1,101,right
103,-0.3,1.47,left,1,102,right
104,-0.3,3.507,left,1,103,left
105,0,3.507,right,1,104,right
106,-0.15,4.59,right,1,105,right
107,-0.15,2.181,left,1,106,right
108,0.3,1.47,right,1,107,left
109,-0.3,2.181,right,1,108,left
110,0,4.0200000000000005,right,1,109,right
111,-0.3,3,left,1,110,right
112,-0.15,2.181,right,1,111,right
113,-0.15,5.1,right,1,112,right
114,-0.3,5.1,left,1,113,left
115,0.15,3,left,1,114,left
116,-0.15,2.4749999999999996,left,1,115,left
117,-0.15,3,right,1,116,left
118,0.15,1.7069999999999999,left,1,117,right
119,-0.3,2.4749999999999996,left,1,118,right
120,-0.3,2.4749999999999996,right,1,119,left
121,-0.15,2.4749999999999996,right,1,120,right
122,0.3,1.47,left,1,121,right
123,0,1.7069999999999999,right,1,122,left
124,-0.3,1.7069999999999999,right,1,123,left
125,-0.3,4.59,left,1,124,left
126,-0.3,2.181,left,1,125,right
127,0.15,2.181,right,1,126,left
128,-0.15,1.47,left,1,127,right
129,-0.3,4.0200000000000005,left,1,128,left
130,0,1.47,right,1,129,left
131,0,2.4749999999999996,right,1,130,left
132,0.3,3,right,1,131,left
133,0.15,3.507,right,1,132,right
134,0,5.1,right,1,133,right
135,-0.3,4.0200000000000005,right,1,134,right
136,-0.15,1.7069999999999999,right,1,135,right
137,0,2.4749999999999996,left,1,136,right
138,0,3,left,1,137,right
139,0,3.507,left,1,138,right
140,0.15,4.59,left,1,139,left
141,0.15,3.507,left,1,140,left
142,0.3,4.59,left,1,141,left
143,0.15,2.4749999999999996,left,1,142,left
144,-0.15,1.7069999999999999,left,1,143,right
145,0.15,2.4749999999999996,right,1,144,right
146,-0.15,4.0200000000000005,right,1,145,right
147,0.3,4.0200000000000005,right,1,146,right
148,0.15,5.1,left,1,147,left
149,0,2.181,left,1,148,left
150,0,5.1,left,1,149,left
151,-0.15,3,left,1,150,left
152,0.15,5.1,right,1,151,right
153,0.15,4.0200000000000005,right,1,152,right
154,0.3,5.1,left,1,153,left
155,-0.3,1.47,right,1,154,left
156,0.15,1.47,right,1,155,left
157,0,2.181,right,1,156,left
158,0,3,right,1,157,left
159,-0.3,3.507,right,1,158,right
160,-0.15,3.507,left,1,159,left
161,0,1.47,left,1,160,right
162,-0.15,4.59,left,1,161,left
163,0.3,1.7069999999999999,right,1,162,left
164,0.3,1.7069999999999999,left,1,163,right
165,0.3,2.4749999999999996,right,1,164,left
166,-0.15,4.0200000000000005,left,1,165,left
167,0.3,3,left,1,166,left
168,0.3,4.59,right,1,167,right
169,0.3,3.507,right,1,168,right
170,-0.3,1.7069999999999999,left,1,169,right
171,0.3,5.1,right,1,170,right
172,-0.3,4.59,right,1,171,right
173,0,4.0200000000000005,left,1,172,left
174,0.15,2.181,left,1,173,right
175,-0.3,5.1,right,1,174,right
176,-0.15,5.1,left,1,175,left
177,0.3,2.181,right,1,176,left
178,-0.3,3,right,1,177,left
179,0.3,4.0200000000000005,left,1,178,left
180,-0.15,3.507,right,1,179,left
181,-0.15,5.1,left,1,0,left
182,0.15,1.47,right,1,1,left
183,0.3,3,left,1,2,left
184,0.3,4.0200000000000005,left,1,3,left
185,0.15,4.59,left,1,4,left
186,-0.3,2.4749999999999996,left,1,5,right
187,0.15,2.181,right,1,6,left
188,0,4.59,right,1,7,right
189,0.3,1.7069999999999999,right,1,8,left
190,0.15,4.0200000000000005,left,1,9,right
191,-0.15,2.181,right,1,10,left
192,0.15,4.0200000000000005,right,1,11,right
193,-0.15,5.1,right,1,12,right
194,0.15,3,right,1,13,right
195,-0.15,1.47,right,1,14,right
196,0.3,5.1,right,1,15,right
197,0.15,2.4749999999999996,right,1,16,left
198,-0.3,4.59,right,1,17,right
199,-0.3,4.0200000000000005,right,1,18,right
200,0,2.181,right,1,19,right
201,0.15,5.1,left,1,20,left
202,0.3,2.181,right,1,21,left
203,0,3,left,1,22,left
204,0,1.47,left,1,23,left
205,0,4.0200000000000005,right,1,24,right
206,-0.3,2.181,left,1,25,right
207,-0.3,1.47,left,1,26,right
208,-0.15,4.59,right,1,27,right
209,0.3,3.507,right,1,28,left
210,-0.15,1.47,left,1,29,right
211,0.15,2.4749999999999996,left,1,30,left
212,0.3,5.1,left,1,31,left
213,-0.3,3.507,right,1,32,right
214,0.3,4.59,left,1,33,left
215,0,5.1,right,1,34,right
216,0,2.4749999999999996,left,1,35,left
217,-0.3,3.507,left,1,36,left
218,-0.15,2.4749999999999996,right,1,37,left
219,-0.3,1.47,right,1,38,left
220,-0.15,3,right,1,39,left
221,-0.15,4.59,left,1,40,left
222,0,3,right,1,41,left
223,-0.3,5.1,left,1,42,left
224,-0.15,2.181,left,1,43,right
225,0,1.7069999999999999,left,1,44,right
226,0,3.507,left,1,45,left
227,-0.3,3,left,1,46,left
228,-0.3,1.7069999999999999,right,1,47,right
229,-0.3,4.59,left,1,48,left
230,-0.3,1.7069999999999999,left,1,49,right
231,0,4.0200000000000005,left,1,50,left
232,0.3,3,right,1,51,right
233,-0.3,4.0200000000000005,left,1,52,left
234,0,5.1,left,1,53,left
235,-0.15,3,left,1,54,right
236,0.3,4.59,right,1,55,right
237,0,2.181,left,1,56,right
238,-0.15,1.7069999999999999,left,1,57,right
239,0.3,1.47,right,1,58,left
240,0.15,3.507,left,1,59,left
241,0.15,4.59,right,1,60,right
242,-0.3,2.4749999999999996,right,1,61,left
243,-0.15,1.7069999999999999,right,1,62,left
244,-0.15,2.4749999999999996,left,1,63,right
245,0.3,3.507,left,1,64,left
246,0.15,3.507,right,1,65,right
247,-0.15,4.0200000000000005,right,1,66,right
248,-0.15,4.0200000000000005,left,1,67,right
249,0,2.4749999999999996,right,1,68,right
250,-0.3,3,right,1,69,left
251,0,4.59,left,1,70,left
252,0.15,5.1,right,1,71,right
253,-0.15,3.507,left,1,72,right
